St. Jean-Marie Vianney Catholic Elementary School,public,,,,http://www.dpcdsb.org/VIANN,,2013-08-21 14:44,2016-04-19 2:41,TRUE,"[""elementary""]",75 Jordensen Drive,L6X 0S1,43.6697916
Cartwright Central Public School,public,0,8,905-986-4227,http://www.ddsb.ca/school/cartwrightcentral,,2015-05-20 20:15,2016-04-02 2:40,FALSE,"[""elementary""]", 10 Alexander St,L0B 1B0,44.112257
Port Perry High School,public,9,12,905-985-7337,http://www.ddsb.ca/school/portperryhs/Pages/default.aspx,french immersion,2015-05-20 20:15,2016-04-19 2:41,FALSE,"[""secondary""]",160 Rosa St,L9L 1L7,44.103605
S A Cawker Public School,public,0,8,905-985-4491,http://www.ddsb.ca/school/sacawker/Pages/default.aspx,,2015-05-20 20:15,2016-04-19 2:41,FALSE,"[""elementary""]",16200 Old Simcoe Rd,L9L 1P3,44.113757
R H Cornish Public School,public,0,8,905-985-4468,http://www.ddsb.ca/school/rhcornish/Pages/default.aspx,french immersion,2015-05-20 20:15,2016-04-19 2:41,FALSE,"[""elementary""]",494 Queen St,L9L 1K2,44.100429
Prince Albert Public School,public,0,8,905-985-2877,http://www.ddsb.ca/school/princealbert/Pages/default.aspx,,2015-05-20 20:15,2016-03-11 1:31,FALSE,"[""elementary""]", 13700 Old Simcoe Rd,L9L 1C3,44.080359
Greenbank Public School,public,0,8,905-985-2567,http://www.ddsb.ca/school/greenbank/Pages/default.aspx,,2015-05-20 20:15,2016-04-06 2:37,FALSE,"[""elementary""]", 1325 Cragg Rd,L0C 1B0,44.154067
Good Shepherd C.S.,public,-1,8,905-985-0153,http://gshepherd.dcdsb.ca,,2015-05-20 20:15,2016-04-19 2:41,TRUE,"[""elementary""]",1650 Reach St,L9L 1T1,44.111218
Immaculate Conception C.S.,public,-1,8,905-985-0128,http://immaculate.dcdsb.ca/,,2015-05-20 20:15,2016-04-19 2:41,TRUE,"[""elementary""]",1722 Scugog Street,L9L 1E2,44.098687
St. Bonaventure Catholic Elementary School,public,,,905-970-9069,http://www.dpcdsb.org/BONAV,,2013-08-21 14:44,2016-04-19 2:41,TRUE,"[""elementary""]",35 Mc Crimmon Drive,L7A 2Z5,43.687578
Sir William Mulock S.S.,public,9,12,905-967-1045,http://www.sirwilliammulock.ss.yrdsb.edu.on.ca/,,2013-08-22 17:17,2016-04-19 2:41,FALSE,"[""secondary""]",705 Columbus Way,L3X 2M7,44.0324595
Terry Fox P.S.,public,-1,8,905-967-0975,http://www.terryfox.ps.yrdsb.edu.on.ca/,,2013-08-22 17:17,2016-04-19 2:41,FALSE,"[""elementary""]",161 Sawmill Valley Drive,L3X 2T1,44.0308644
